id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9543000205,20150413T000000,139950,0,0.0,844,4269,1.0,0,0,4,7,844,0,1913,0,98001,47.2781,-122.25,1380,9600
3353400120,20140701T000000,174000,2,1.0,900,13531,1.0,0,0,3,6,900,0,1979,0,98001,47.2616,-122.251,1767,8308
2976800749,20141031T000000,150000,4,2.0,1460,7254,1.0,0,0,3,6,1460,0,1959,0,98178,47.5056,-122.254,1460,7236
7335400020,20140626T000000,219500,3,1.0,1090,6710,1.5,0,0,5,5,1090,0,1912,0,98002,47.3066,-122.217,1170,6708
7883600700,20150122T000000,157500,2,1.0,670,4500,1.0,0,0,3,5,670,0,1905,0,98108,47.5271,-122.326,1210,4500
7340600068,20140514T000000,215000,2,1.0,1240,7200,1.0,0,0,3,7,1240,0,1967,0,98168,47.4971,-122.282,1130,9200
3832500230,20150105T000000,245000,4,2.25,2140,8800,2.0,0,0,4,7,2140,0,1963,0,98032,47.3655,-122.291,2060,9790
4440400125,20140508T000000,228000,4,1.75,2000,6120,1.0,0,0,3,7,1100,900,1965,0,98178,47.5035,-122.258,1880,6120
8016250080,20140709T000000,245000,3,2.5,1610,7223,2.0,0,0,3,7,1610,0,1994,0,98030,47.3661,-122.173,1610,7162
7116500125,20140528T000000,189000,2,2.0,1700,3171,1.0,0,0,5,5,850,850,1927,0,98002,47.3025,-122.224,1380,5906
795000620,20140924T000000,115000,3,1.0,1080,6250,1.0,0,0,2,5,1080,0,1950,0,98168,47.5045,-122.33,1070,6250
766500030,20140610T000000,225000,3,1.75,1760,26055,1.0,0,0,3,7,920,840,1979,0,98042,47.3664,-122.1,1350,13475
8570900162,20141016T000000,193500,2,1.0,950,15996,1.0,0,0,4,7,950,0,1946,1995,98045,47.4987,-121.787,950,25510
3751600030,20140717T000000,100000,2,1.0,770,17334,1.0,0,0,3,7,770,0,1978,0,98001,47.2997,-122.269,1480,17334
1237500540,20141021T000000,225000,3,1.75,1370,10866,1.0,0,0,4,6,1370,0,1945,0,98052,47.6774,-122.164,1580,14250
3751602249,20150305T000000,205000,4,1.0,1340,7920,1.0,0,0,4,7,1340,0,1970,0,98001,47.2845,-122.267,1090,9600
6146600595,20150410T000000,209950,2,1.0,860,5080,1.0,0,0,3,7,860,0,1960,0,98032,47.39,-122.236,1250,6477
3664500300,20141106T000000,230000,2,1.0,1470,25661,1.5,0,0,3,4,1470,0,1932,0,98059,47.4878,-122.13,1670,43301
